"admUnitFiveId","name","admUnitFourId"
10042866150,"Bara Gaurichana","10042866"
10042866581,"Khajurtala","10042866"
10042866844,"Phuljhuri","10042866"
10042876018,"Adabaria","10042876"
10042876450,"Haridrabaria","10042876"
10042876544,"Keorabunia","10042876"
10042876994,"Tulsibaria","10042876"
10042885093,"Baliatali","10042885"
10042885657,"Maitha","10042885"
10042885732,"Nimtali Azizabad","10042885"
10042885769,"Orbania","10042885"
10042885807,"Paler Baliatali","10042885"
10042885919,"Rokshachandi","10042885"
10042885957,"Taltali","10042885"
10042895375,"Garjanbania","10042895"
10042895394,"Gazi Mamud","10042895"
10042895619,"Kumirmara","10042895"
10042895694,"Naltona","10042895"
10042895750,"Niogir-Abad","10042895"
10042895788,"Padma","10042895"
10042895963,"Pitambarganj","10042895"
10044701851,"Uttar Betagi","10044701"
10044702751,"Purba Betagi","10044702"
10044703134,"Basanda Bholanathpur","10044703"
10044704251,"Dakshin Betagi","10044704"
10044705300,"College & High School","10044705"
10044706720,"Pashu Hospital","10044706"
10044707151,"Bandar Betagi","10044707"
10044708280,"Kharakanda","10044708"
10044709700,"Paschim Betagi","10044709"
10044711134,"Basanda Bholanathpur","10044711"
10044711151,"Betagi","10044711"
10044711303,"Chhota Keorabania","10044711"
10044711371,"Dakshin Bholanathpur","10044711"
10044711522,"Gred Lakshmipur","10044711"
10044711573,"Jhilbania","10044711"
10044711607,"Jobkhali","10044711"
10044711725,"Keorabania","10044711"
10044711742,"Khantakata Lakshmipur","10044711"
10044711758,"Kismat Bholanathpur","10044711"
10044711792,"Kismat Karuna","10044711"
10044711893,"Ranipur","10044711"
10044711961,"Uttar Bholanathpur","10044711"
10044723185,"Bibichini","10044723"
10044723438,"Desantarkati","10044723"
10044723472,"Gabua Putiakhali","10044723"
10044723489,"Gariabania","10044723"
10044723860,"Phultala","10044723"
10044723944,"Talgachhia","10044723"
10044735050,"Badnikhali","10044735"
10044735084,"Balaibania","10044735"
10044735101,"Bamaner Karuna","10044735"
10044735202,"Bura Mazumdar","10044735"
10044735404,"Dakshin Karuna","10044735"
10044735505,"Gera Mardan","10044735"
10044735691,"Kaunia","10044735"
10044735927,"Talbaria","10044735"
10044747016,"Anar Jalisa","10044747"
10044747252,"Chhopkhali Char","10044747"
10044747269,"Chhopkhali Dhan M.Chatra","10044747"
10044747286,"Chhopkhali","10044747"
10044747337,"Dakshin Basanda","10044747"
10044747387,"Dakshin Hosnabad","10044747"
10044747556,"Hosnabad","10044747"
10044747843,"Meher Gazi","10044747"
