"admUnitFourId","name","area","admUnitThreeId"
10063255,"Khanjapur Union ",5563,"100632"
10063263,"Mahilara Union ",3144,"100632"
10063271,"Nalchira Union ",5787,"100632"
10063294,"Sarikal Union ",6265,"100632"
10063613,"Bara Jalia Union ",14079,"100636"
10063627,"Dhulkhola Union ",9880,"100636"
10063654,"Guabaria Union ",16055,"100636"
10063667,"Harinathpur Union ",14820,"100636"
10063681,"Hizla Gaurabdi Union Tot",17784,"100636"
10063694,"Memania Union ",17290,"100636"
10065101,"Ward No-01 ",NA,"100651"
10065102,"Ward No-02 ",NA,"100651"
10065103,"Ward No-03 ",NA,"100651"
10065104,"Ward No-04 ",NA,"100651"
10065105,"Ward No-05 ",NA,"100651"
10065106,"Ward No-06 ",NA,"100651"
10065107,"Ward No-07 ",NA,"100651"
10065108,"Ward No-08 ",NA,"100651"
10065109,"Ward No-09 ",NA,"100651"
10065110,"Ward No-10 ",NA,"100651"
10065111,"Ward No-11 ",NA,"100651"
10065112,"Ward No-12 ",NA,"100651"
10065113,"Ward No-13 ",NA,"100651"
10065114,"Ward No-14 ",NA,"100651"
10065115,"Ward No-15 ",NA,"100651"
10065116,"Ward No-16 ",NA,"100651"
10065117,"Ward No-17 ",NA,"100651"
10065118,"Ward No-18 ",NA,"100651"
10065119,"Ward No-19 ",NA,"100651"
10065120,"Ward No-20 ",NA,"100651"
10065121,"Ward No-21 ",NA,"100651"
10065122,"Ward No-22 ",NA,"100651"
10065123,"Ward No-23 ",NA,"100651"
10065124,"Ward No-24 ",NA,"100651"
10065125,"Ward No-25 ",NA,"100651"
10065126,"Ward No-26 ",NA,"100651"
10065127,"Ward No-27 ",NA,"100651"
10065128,"Ward No-28 ",NA,"100651"
10065129,"Ward No-29 ",NA,"100651"
10065130,"Ward No-30 ",NA,"100651"
10065132,"Chandpura Union ",5967,"100651"
10065133,"Chandra Mohan Union To",5735,"100651"
10065134,"Char Baria Union ",4860,"100651"
10065143,"Char Kowa Union ",9346,"100651"
10065151,"Char Monai Union ",11755,"100651"
10065160,"Jagua Union ",1897,"100651"
10065169,"Kashipur Union ",2791,"100651"
10065177,"Roy Pasha Karapur Union",4638,"100651"
10065186,"Shayestabad Union ",11318,"100651"
10065194,"Tungibaria Union ",5025,"100651"
10066201,"Ward No-01 ",NA,"100662"
10066202,"Ward No-02 ",NA,"100662"
10066203,"Ward No-03 ",NA,"100662"
10066204,"Ward No-04 ",NA,"100662"
10066205,"Ward No-05 ",NA,"100662"
10066206,"Ward No-06 ",NA,"100662"
10066207,"Ward No-07 ",NA,"100662"
10066208,"Ward No-08 ",NA,"100662"
10066209,"Ward No-09 ",NA,"100662"
10066213,"Alimabad Union ",12913,"100662"
10066215,"Andhar Manik Union Tota",6106,"100662"
10066223,"Bhasan Char Union ",4524,"100662"
10066231,"Bidyanandapur Union Tot",7667,"100662"
10066239,"Chandpur Union ",4212,"100662"
10066240,"Gobindapur Union ",10580,"100662"
10066247,"Char Ekkaria Union ",11548,"100662"
10066255,"Char Gopalpur Union Tot",6593,"100662"
10066263,"Dari Char Khajuria Union",4687,"100662"
10066271,"Jangalia Union ",8845,"100662"
10066279,"Lata Union ",7141,"100662"
10066287,"Mehendiganj Union ",5777,"100662"
10066294,"Ulania Union ",6096,"100662"
10066901,"Ward No-01 ",NA,"100669"
10066902,"Ward No-02 ",NA,"100669"
10066903,"Ward No-03 ",NA,"100669"
10066904,"Ward No-04 ",NA,"100669"
10066905,"Ward No-05 ",NA,"100669"
10066906,"Ward No-06 ",NA,"100669"
10066907,"Ward No-07 ",NA,"100669"
10066908,"Ward No-08 ",NA,"100669"
10066909,"Ward No-09 ",NA,"100669"
10066911,"Batamara Union ",7640,"100669"
10066923,"Char Kalekhan Union Tot",5176,"100669"
10066935,"Gachhua Union ",5844,"100669"
10066947,"Kazir Char Union ",8041,"100669"
10066959,"Muladi Union ",7236,"100669"
10066971,"Nazirpur Union ",8156,"100669"
10066983,"Safipur Union ",10648,"100669"
10069410,"Bamrail Union ",6193,"100694"
10069421,"Bara Kotha Union ",5553,"100694"
10069431,"Guthia Union ",7256,"100694"
10069442,"Harta Union ",6856,"100694"
10069452,"Jalla Union ",6715,"100694"
10069463,"Otra Union ",5626,"100694"
10069473,"Satla Union ",12297,"100694"
10069484,"Shikarpur Union ",4876,"100694"
10069494,"Sholak Union ",6001,"100694"
10091801,"Ward No-01 ",NA,"100918"
10091802,"Ward No-02 ",NA,"100918"
10091803,"Ward No-03 ",NA,"100918"
10091804,"Ward No-04 ",NA,"100918"
10091805,"Ward No-05 ",NA,"100918"
10091806,"Ward No-06 ",NA,"100918"
10091807,"Ward No-07 ",NA,"100918"
10091808,"Ward No-08 ",NA,"100918"
10091809,"Ward No-09 ",NA,"100918"
10091812,"Alinagar Union ",2452,"100918"
10091814,"Bapta Union ",12887,"100918"
10091821,"Char Samaia Union ",3590,"100918"
10091829,"Char Shibpur Union ",2758,"100918"
10091836,"Dhania Union ",5297,"100918"
10091851,"Illisha Union ",10358,"100918"
10091855,"Paschim Ilisha Union ",8184,"100918"
10091858,"Kachia Union ",4170,"100918"
10091865,"Uttar Dighaldi Union ",4750,"100918"
10091873,"Rajapur Union ",8884,"100918"
